Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE,Out-of-sample Accuracy
300,relu,11,Momentum,Xavier,0.001,0.04402107372879982,1189.7017024213285,0.9789473684210527
300,tanh,8,Momentum,Xavier,0.001,0.04316204413771629,1236.558209775106,0.968421052631579
200,relu,8,Adam,Xavier,0.0001,0.04590414837002754,1250.4889040375651,0.9789473684210527
300,relu,11,Adam,Xavier,0.001,0.038807544857263565,1357.5373621273263,0.9578947368421052
200,tanh,8,SGD,Xavier,0.001,0.06248950958251953,1371.7267695534981,0.9789473684210527
300,relu,8,Adam,Xavier,0.001,0.04571463167667389,1428.73158446769,0.9578947368421052
200,tanh,5,Adam,Xavier,0.0001,0.04244546592235565,1467.1001311856119,0.9789473684210527
100,tanh,11,Momentum,Xavier,0,0.0446789413690567,1477.561005664666,0.9263157894736842
200,relu,11,Momentum,small_random,0.001,0.05727745220065117,1515.7771717373685,0.9578947368421052
300,relu,5,SGD,small_random,0,0.0716451108455658,1548.041273304907,0.9263157894736842
300,tanh,11,Adam,Xavier,0.001,0.04101675748825073,1555.9795109873799,0.9368421052631579
300,sigmoid,5,SGD,small_random,0.0001,0.12238214910030365,1597.1775003575874,0.8842105263157894
300,sigmoid,8,SGD,Xavier,0.001,0.06461869180202484,1645.6620209967718,0.9263157894736842
300,sigmoid,5,Momentum,small_random,0,0.06627487391233444,1661.7346306544455,0.8842105263157894
300,relu,11,Momentum,small_random,0.001,0.04343373700976372,1672.5694028050395,0.9368421052631579
100,relu,8,Momentum,Xavier,0,0.05028105899691582,1683.938172230536,0.9368421052631579
100,relu,5,Momentum,Xavier,0.0001,0.051342081278562546,1696.793185414705,0.9263157894736842
300,sigmoid,11,Adam,small_random,0.0001,0.04737613722681999,1707.593135889424,0.9052631578947369
100,tanh,5,Momentum,Xavier,0.0001,0.06129729747772217,1709.8521513788223,0.9473684210526315
100,relu,8,Adam,Xavier,0.001,0.04856106638908386,1710.4325897497615,0.9052631578947369
300,tanh,8,Adam,Xavier,0,0.04515260457992554,1714.7188961096588,0.9052631578947369
300,tanh,11,Adam,Xavier,0.0001,0.0395403727889061,1715.1422023192,0.9157894736842105
300,tanh,8,Adam,Xavier,0.001,0.04398517310619354,1724.4478169288932,0.9263157894736842
300,tanh,8,SGD,Xavier,0,0.05191981792449951,1729.0416897685202,0.9368421052631579
300,relu,11,Momentum,small_random,0.0001,0.05596436187624931,1730.7337397215279,0.9157894736842105
200,relu,11,Momentum,Xavier,0.0001,0.04415185749530792,1748.8833864092458,0.9157894736842105
100,tanh,11,Adam,Xavier,0,0.05129508674144745,1776.6873611279,0.9052631578947369
300,sigmoid,5,Adam,Xavier,0.0001,0.04575137048959732,1778.3658410588755,0.9052631578947369
200,sigmoid,8,Momentum,Xavier,0,0.054771583527326584,1782.4398132894332,0.8947368421052632
300,tanh,11,Momentum,Xavier,0,0.04137713089585304,1784.977575233074,0.8736842105263158
200,sigmoid,5,SGD,Xavier,0.0001,0.0716945230960846,1795.4012955163535,0.9157894736842105
300,sigmoid,11,Adam,small_random,0.001,0.04762067645788193,1814.4184468532028,0.9052631578947369
