,Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,Accuracy,Accuracy(1000),Accuracy(2000),Accuracy(3000)
8,100,sigmoid,5,SGD,Xavier,0.0001,0.27272728085517883,0.19736842811107635,0.3078947365283966,0.4000000059604645
6,100,sigmoid,5,SGD,Xavier,0,0.1818181872367859,0.10000000149011612,0.22368420660495758,0.31842106580734253
7,100,sigmoid,5,SGD,Xavier,0.001,0.09090909361839294,0.06578947603702545,0.12894736230373383,0.1631578952074051
0,100,sigmoid,5,SGD,small_random,0,0.0,0.06842105090618134,0.14473684132099152,0.2368421107530594
1,100,sigmoid,5,SGD,small_random,0.001,0.0,0.06578947603702545,0.12894736230373383,0.20000000298023224
2,100,sigmoid,5,SGD,small_random,0.0001,0.0,0.08157894760370255,0.12368421256542206,0.1473684161901474
3,100,sigmoid,5,Adam,small_random,0,0.0,0.028947368264198303,0.06842105090618134,0.10789473354816437
4,100,sigmoid,5,Adam,small_random,0.001,0.0,0.08157894760370255,0.20789474248886108,0.3078947365283966
5,100,sigmoid,5,Adam,small_random,0.0001,0.0,0.04736842215061188,0.12894736230373383,0.1763157844543457
9,100,sigmoid,5,Adam,Xavier,0,0.0,0.05000000074505806,0.1184210553765297,0.17368420958518982
10,100,sigmoid,5,Adam,Xavier,0.001,0.0,0.0,0.0,0.0
11,100,sigmoid,5,Adam,Xavier,0.0001,0.0,0.0,0.0,0.0026315790601074696
